Symbol,Name,LastSale,MarketCap,ADR,TSO,IPOyear,Sector,Industry,Summary Quote
"XENE","Xenon Pharmaceuticals Inc.","4","71986720","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xene",
"XGTI","XG Technology, Inc","1.81","20684372.3","n/a","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgti",
"XGTIW","XG Technology, Inc","11","0","n/a","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgtiw",
"XLNX","Xilinx, Inc.","65.86","16336573000","n/a","1990","Technology","Semiconductors","http://www.nasdaq.com/symbol/xlnx",
"GLDI","X-Links Gold Shares Covered Call ETN","9.4","127138778.8","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/gldi",
"USOI","X-Links Gold Shares Covered Call ETN","24.61","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/usoi",
"SLVO","X-Links Silver Shares Covered Call ETN","8.61","7318500","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/slvo",
"XOMA","XOMA Corporation","6.73","51051464.88","n/a","1986","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xoma",
"XPER","Xperi Corporation","31.25","1544915156.25","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/xper",
"XPLR","Xplore Technologies Corp","1.9","20843729.6","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/xplr",
"XTLB","XTL Biopharmaceuticals Ltd.","2.5605","2256192.2565","881153","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xtlb",
"XNET","Xunlei Limited","3.55","98472147.15","27738633","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/xnet",
"YHOO","Yahoo! Inc.","50.67","48551943177.99","n/a","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/yhoo",
"YNDX","Yandex N.V.","27.645","8946991391.535","n/a","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/yndx",
"YERR","Yangtze River Development Limited","12.22","2105132630.12","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/yerr",
"YTRA","Yatra Online, Inc.","9.1","336599900","n/a","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/ytra",
"YTEN","Yield10 Bioscience, Inc.","0.395","11256931.2","n/a","n/a","Basic Industries","Containers/Packaging","http://www.nasdaq.com/symbol/yten",
"YIN","Yintech Investment Holdings Limited","10.5","96705000","9210000","2016","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/yin",
"YRCW","YRC Worldwide, Inc.","9.26","310493744.92","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/yrcw",
"YECO","Yulong Eco-Materials Limited","0.5001","5999791.7184","n/a","2015","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/yeco",
"YY","YY Inc.","57.47","2202894293.88","38331204","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/yy",
"ZFGN","Zafgen, Inc.","3.79","103743105.29","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zfgn",
"ZAGG","ZAGG Inc","8.2","229282463.2","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/zagg",
"ZAIS","ZAIS Group Holdings, Inc.","2.18","32004104.76","n/a","2013","Finance","Investment Managers","http://www.nasdaq.com/symbol/zais",
"ZBRA","Zebra Technologies Corporation","105.95","5590314650.7","n/a","1991","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/zbra",
"Z","Zillow Group, Inc.","43.33","7972834607.85","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/z",
"ZG","Zillow Group, Inc.","43.64","8029875427.8","n/a","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/zg",
"ZN","Zion Oil & Gas Inc","1.52","72715655.44","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zn",
"ZNWAA","Zion Oil & Gas Inc","n/a","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/znwaa",
"ZION","Zions Bancorporation","40.46","8198381437.54","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zion",
"ZIONW","Zions Bancorporation","10.13","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zionw",
"ZIONZ","Zions Bancorporation","7","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zionz",
"ZIOP","ZIOPHARM Oncology Inc","6.29","832680704.3","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ziop",
"ZIXI","Zix Corporation","5.92","324580173.44","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/zixi",
"ZGNX","Zogenix, Inc.","12.625","313270993","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zgnx",
"ZSAN","Zosano Pharma Corporation","1.495","58604145.015","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zsan",
"ZUMZ","Zumiez Inc.","14.675","369390661.875","n/a","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/zumz",
"ZYNE","Zynerba Pharmaceuticals, Inc.","19","251745801","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zyne",
"ZNGA","Zynga Inc.","3.495","3006054190.29","n/a","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/znga",
